Unnamed: 0,name,full_name,description,forks_count,stargazers_count,watchers_count,open_issues_count
2539,nafees-web-naskh-fonts,src-openeuler/nafees-web-naskh-fonts,,1,0,131,0
200,atf,src-openeuler/atf,,4,0,131,0
5490,python-genshi,src-openeuler/python-genshi,,4,0,131,1
3189,paktype-naskh-basic-fonts,src-openeuler/paktype-naskh-basic-fonts,,3,0,131,0
1882,libappindicator,src-openeuler/libappindicator,,7,0,131,1
994,gnome-shell-extensions,src-openeuler/gnome-shell-extensions,,2,0,131,0
4983,python-PyMySQL,src-openeuler/python-PyMySQL,Pure Python MySQL Client,4,1,131,0
1826,lato-fonts,src-openeuler/lato-fonts,,2,0,131,1
6287,python-sqlalchemy,src-openeuler/python-sqlalchemy,,12,0,131,2
5766,python-mysqlclient,src-openeuler/python-mysqlclient,MySQL database connector for Python,7,1,131,0
950,gnome-abrt,src-openeuler/gnome-abrt,,4,0,131,0
7234,thai-scalable-fonts,src-openeuler/thai-scalable-fonts,,5,0,131,0
953,gnome-bluetooth,src-openeuler/gnome-bluetooth,,3,1,131,0
5961,python-psycopg2,src-openeuler/python-psycopg2,,5,0,131,0
7632,yasm,src-openeuler/yasm,,1,0,131,0
978,gnome-menus,src-openeuler/gnome-menus,,5,0,131,0
970,gnome-getting-started-docs,src-openeuler/gnome-getting-started-docs,,3,0,131,0
959,gnome-clocks,src-openeuler/gnome-clocks,,3,0,131,0
960,gnome-color-manager,src-openeuler/gnome-color-manager,,4,0,131,0
988,gnome-settings-daemon,src-openeuler/gnome-settings-daemon,,3,0,131,0
986,gnome-screenshot,src-openeuler/gnome-screenshot,,4,0,131,0
3029,openEuler-latest-release,src-openeuler/openEuler-latest-release,,3,0,131,1
1619,jfsutils,src-openeuler/jfsutils,,2,0,131,0
1118,gubbi-fonts,src-openeuler/gubbi-fonts,,1,0,131,0
7065,sos,src-openeuler/sos,A set of tools to gather troubleshooting information from a system,7,0,131,0
6038,python-pyquery,src-openeuler/python-pyquery,A jQuery-like library for python,5,0,131,0
962,gnome-contacts,src-openeuler/gnome-contacts,,3,0,131,0
1056,gperf,src-openeuler/gperf,,1,0,131,1
969,gnome-font-viewer,src-openeuler/gnome-font-viewer,,4,0,131,0
966,gnome-dictionary,src-openeuler/gnome-dictionary,,2,0,131,0
968,gnome-doc-utils,src-openeuler/gnome-doc-utils,,4,0,131,0
967,gnome-disk-utility,src-openeuler/gnome-disk-utility,,4,0,131,0
6641,rng-tools,src-openeuler/rng-tools,,6,0,131,0
975,gnome-keyring,src-openeuler/gnome-keyring,,4,0,131,0
1085,gsound,src-openeuler/gsound,,1,0,131,0
1793,kurdit-unikurd-web-fonts,src-openeuler/kurdit-unikurd-web-fonts,,1,0,131,0
996,gnome-system-monitor,src-openeuler/gnome-system-monitor,,3,0,131,0
7658,zopfli,src-openeuler/zopfli,,2,0,131,1
1699,kde-settings,src-openeuler/kde-settings,,3,0,131,0
997,gnome-terminal,src-openeuler/gnome-terminal,,5,0,131,0
794,folks,src-openeuler/folks,,5,0,131,0
2308,madan-fonts,src-openeuler/madan-fonts,,1,0,131,1
974,gnome-initial-setup,src-openeuler/gnome-initial-setup,,3,0,131,0
742,fcoe-utils,src-openeuler/fcoe-utils,,6,0,131,0
1003,gnome-video-effects,src-openeuler/gnome-video-effects,,3,0,131,0
7246,tibetan-machine-uni-fonts,src-openeuler/tibetan-machine-uni-fonts,,3,0,131,0
1689,kacst-fonts,src-openeuler/kacst-fonts,,1,0,131,0
498,dconf-editor,src-openeuler/dconf-editor,,3,0,131,0
395,cmake,src-openeuler/cmake,,13,0,131,1
1006,gnu-free-fonts,src-openeuler/gnu-free-fonts,,1,0,131,0
